Repository,severity,path,lines,message
habitica-android,WARNING,Habitica/src/main/java/com/habitrpg/android/habitica/helpers/AdHandler.kt,"        val md = MessageDigest.getInstance(""MD5"")",Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
Goatlin,WARNING,docker-compose.yml,  db:,"Service 'db' is running with a writable root filesystem. This may allow malicious applications to download and run additional payloads, or modify container files. If an application inside a container has to save something temporarily consider using a tmpfs. Add 'read_only: true' to this service to prevent this."
Goatlin,WARNING,docker-compose.yml,  api:,"Service 'api' is running with a writable root filesystem. This may allow malicious applications to download and run additional payloads, or modify container files. If an application inside a container has to save something temporarily consider using a tmpfs. Add 'read_only: true' to this service to prevent this."
Goatlin,WARNING,packages/services/api/bin/www,var server = http.createServer(app);,"Checks for any usage of http servers instead of https servers. Encourages the usage of https protocol instead of http, which does not have TLS and is therefore unencrypted. Using http can lead to man-in-the-middle attacks in which the attacker is able to read sensitive information."
Goatlin,ERROR,packages/services/api/Dockerfile,CMD npm start,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
Goatlin,WARNING,docker-compose.yml,  db:,Service 'db' allows for privilege escalation via setuid or setgid binaries. Add 'no-new-privileges:true' in 'security_opt' to prevent this.
Goatlin,WARNING,docker-compose.yml,  api:,Service 'api' allows for privilege escalation via setuid or setgid binaries. Add 'no-new-privileges:true' in 'security_opt' to prevent this.
NotyKT,WARNING,docs/index.html,"    <link
      rel=""stylesheet""
      href=""https://cdn.jsdelivr.net/npm/docsify-themeable@0/dist/css/theme-simple.css""
    />","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <link
      rel=""stylesheet""
      href=""https://unpkg.com/dracula-prism/css/dracula-prism.css""
    />","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/docsify/lib/docsify.js""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
