Repository,severity,language,confidence,code,details
AndroGoat,HIGH,Kotlin,MEDIUM,"fire.supersu-1/base.apk"");","(1/1) * Possible vulnerability detected: Super User Privileges
This App may request root (Super User) privileges. For more information checkout the CWE-250 (https://cwe.mitre.org/data/definitions/250.html) advisory."
AndroGoat,HIGH,Kotlin,MEDIUM,"fire.supersu-1/base.apk"");","(1/1) * Possible vulnerability detected: Super User Privileges
This App may request root (Super User) privileges. For more information checkout the CWE-250 (https://cwe.mitre.org/data/definitions/250.html) advisory."
AndroGoat,HIGH,Kotlin,LOW,import android.database.sqlite.SQLiteDatabase,"(1/1) * Possible vulnerability detected: SQL Injection With SQLite
App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database. For more information checkout the CWE-89 (https://cwe.mitre.org/data/definitions/89.html) advisory."
AndroGoat,HIGH,Kotlin,LOW,import android.database.sqlite.SQLiteDatabase,"(1/1) * Possible vulnerability detected: SQL Injection With SQLite
App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database. For more information checkout the CWE-89 (https://cwe.mitre.org/data/definitions/89.html) advisory."
AndroGoat,MEDIUM,Kotlin,HIGH,import android.webkit.WebView,"(1/1) * Possible vulnerability detected: WebView GET Request
WebView GET Request"
habitica-android,CRITICAL,Ruby,MEDIUM,    jmespath (1.4.0),"(1/1) * Possible vulnerability detected: JMESPath for Ruby using JSON.load instead of JSON.parse
Fixed Version: >= 1.6.1; 
jmespath.rb (aka JMESPath for Ruby) before 1.6.1 uses JSON.load in a
situation where JSON.parse is preferable.
CVE: 2022-32511"
habitica-android,CRITICAL,Generic,MEDIUM,"    jmespath (1.4.0)
	Installed Version: ""1.4.0""
	Update to Version: "">= 1.6.1"" for fix this issue.","(1/1) * Possible vulnerability detected: jmespath.rb (aka JMESPath for Ruby) before 1.6.1 uses JSON.load in a situation where JSON.parse is preferable.
PrimaryURL: https://avd.aquasec.com/nvd/cve-2022-32511."
habitica-android,CRITICAL,Leaks,MEDIUM,binding?.twitter?.setOnClickListener { openBrowserLink(twitterLink) },"(1/1) * Possible vulnerability detected: Twitter Client ID
When use Twitter Client ID is recommended use vault or environment variable encrypted for the best security. For more information checkout the CWE-312 (https://cwe.mitre.org/data/definitions/312.html) advisory."
habitica-android,CRITICAL,Leaks,MEDIUM,AAAALLLLJJ8H;;;;JJNNNNHHHAAA====JJJJJJ^^^^CC999[999=>9999====;<99');;J===='''666####;;;,"(1/1) * Possible vulnerability detected: AWS Secret Key
When use AWS Secret Key is recommended use vault or environment variable encrypted for the best security. For more information checkout the CWE-798 (https://cwe.mitre.org/data/definitions/798.html) advisory."
habitica-android,CRITICAL,Leaks,MEDIUM,AAAA5Wa*)Fe--M?<HF335D.>3UUD@B7@=99.A5O4BB@CPAEB7>67H;C<Y[DT8>X;;IE>/pp55528899S88>X:7e,"(1/1) * Possible vulnerability detected: AWS Secret Key
When use AWS Secret Key is recommended use vault or environment variable encrypted for the best security. For more information checkout the CWE-798 (https://cwe.mitre.org/data/definitions/798.html) advisory."
habitica-android,HIGH,Ruby,MEDIUM,    addressable (2.7.0),"(1/1) * Possible vulnerability detected: Regular Expression Denial of Service in Addressable templates
Fixed Version: >= 2.8.0; 
Within the URI template implementation in Addressable, a maliciously crafted template may result in uncontrolled resource consumption,
leading to denial of service when matched against a URI. In typical usage, templates would not normally be read from untrusted user input,
but nonetheless, no previous security advisory for Addressable has cautioned against doing this.
Users of the parsing capabilities in Addressable but not the URI template capabilities are unaffected.
CVE: 2021-32740"
habitica-android,HIGH,Generic,MEDIUM,"    addressable (2.7.0)
	Installed Version: ""2.7.0""
	Update to Version: "">= 2.8.0"" for fix this issue.","(1/1) * Possible vulnerability detected: Addressable is an alternative implementation to the URI implementation that is part of Ruby's standard library. An uncontrolled resource consumption vulnerability exists after version 2.3.0 through version 2.7.0. Within the URI template implementation in Addressable, a maliciously crafted template may result in uncontrolled resource consumption, leading to denial of service when matched against a URI. In typical usage, templates would not normally be read from untrusted user input, but nonetheless, no previous security advisory for Addressable has cautioned against doing this. Users of the parsing capabilities in Addressable but not the URI template capabilities are unaffected. The vulnerability is patched in version 2.8.0. As a workaround, only create Template objects from trusted sources that have been validated not to produce catastrophic backtracking.
PrimaryURL: https://avd.aquasec.com/nvd/cve-2021-32740.
Cwe Links: (https://cwe.mitre.org/data/definitions/400.html)"
habitica-android,HIGH,Java,LOW,"android:background=""@drawable/subscription_unselected""","(1/1) * Possible vulnerability detected: SQL Injection
The input values included in SQL queries need to be passed in safely. Bind variables in prepared statements can be used to easily mitigate the risk of SQL injection. Alternatively to prepare statements, each parameter can be escaped manually. For more information checkout the CWE-89 (https://cwe.mitre.org/data/definitions/89.html) advisory."
habitica-android,HIGH,Java,LOW,"<string name=""suggestions_feedback""><![CDATA[Suggestions & Feedback]]></string>","(1/1) * Possible vulnerability detected: Bad hexadecimal concatenation
When converting a byte array containing a hash signature to a human readable string, a conversion mistake can be made if the array is read byte by byte. The following sample illustrates the use of the method Integer.toHexString() which will trim any leading zeroes from each byte of the computed hash value. For more information checkout the CWE-704 (https://cwe.mitre.org/data/definitions/704.html) advisory."
